,date,tweet,clean_tweets,len,Sentiment
0,2020-07-16 16:17:06,A morning @ Common Ground Golf Course. Thanks for the tour Mitch ... it’s beautiful. https://t.co/OStHx1IXfx,morning common ground golf course thanks tour mitch beautiful osthx ixfx,72,1
1,2020-07-16 16:19:59,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
2,2020-07-16 16:19:59,"@s0upes Give his sock to Reed, that'll wake him up.",upes give sock reed wake,24,0
3,2020-07-16 16:19:59,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
4,2020-07-16 16:20:00,"RT @goldkanet: There are no words to describe how much I love this character.
Tried to capture Abby in old masters style
#TLOU2 #TheLastofU…",goldkanet words describe much love character tried capture abby old masters style tlou thelastofu,97,1
5,2020-07-16 16:20:00,"Maybe Rivals? Probably Franchise Masters with the Ducks.

https://t.co/cl17jD8ViE https://t.co/d2IXfjlyOU",maybe rivals probably franchise masters ducks cl jd vie ixfjlyou,64,0
6,2020-07-16 16:19:57,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
7,2020-07-16 16:20:01,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
8,2020-07-16 16:20:01,RT @glynntaylor: Won the first major of the delayed season yesterday with a nett 68 at @TheChaseGolf #golf #golfmates #golow #nikegolf #tay…,glynntaylor first major delayed season yesterday nett thechasegolf golf golfmates golow nikegolf tay,100,1
9,2020-07-16 16:20:02,l love Tiger Woods. If yall didn't know,l love tiger woods yall know,28,1
10,2020-07-16 16:20:02,Tiger Woods documentary faces backlash over lack of diversity https://t.co/Nh0gKTgAmC https://t.co/gZxvnkgTD6,tiger woods documentary faces backlash lack diversity nh gktgamc gzxvnkgtd,74,0
11,2020-07-16 16:20:02,"RT @davidschneider: 1: 
The Pope is Catholic

2:
Bears shit in the woods

3:",davidschneider pope catholic bears shit woods,45,-1
12,2020-07-16 16:20:03,RT @pastormarkburns: Slavery in America came by Africans selling other Africans to European masters. Many slaves weren't forced to America…,pastormarkburns slavery america came africans selling africans european masters many slaves forced america,106,1
13,2020-07-16 16:20:03,"RT @jamieloftusHELP: no gods, no masters, no scrubs, no sferatu",jamieloftushelp gods masters scrubs sferatu,43,0
14,2020-07-16 16:20:04,"RT @ErikaLarkinPGA: Want to know how to clear the lip of a fairway bunker? #golf #golftips
https://t.co/3yIFftDNxA https://t.co/HOl3UQ2zQC",erikalarkinpga want know clear lip fairway bunker golf golftips yifftdnxa hol uq zqc,84,1
15,2020-07-16 16:20:05,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
16,2020-07-16 16:20:06,"RT @Wah_Aaj: Case#0051

ZAKAT AND SADQAT ELIGIBLE CASE

Assalamoalaikum all,
I have a case which almost all of us can understand considerin…",wah aaj case zakat sadqat eligible case assalamoalaikum case almost us understand nsiderin,90,0
17,2020-07-16 16:20:06,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
18,2020-07-16 16:20:07,"RT @OBSSales: Hip 783 goes to Oracle Bloodstock as agent for Amanda Butler for $230,000!

The colt by Not This Time was consigned by Eddie…",obssales hip goes oracle bloodstock agent amanda butler lt time nsigned eddie,77,0
19,2020-07-16 16:20:07,RT @pinkgirlsdaily: Today’s pink anime girl of the day is Abigail from Heart of the Woods! https://t.co/veo6woEBDG,pinkgirlsdaily today pink anime girl day abigail hea woods veo woebdg,69,-1
20,2020-07-16 16:20:07,"Enjoy lake, woods in Wisconsin northwoods 
#visitwisconsin #hiking #northwoods https://t.co/KgmJuQx13M https://t.co/dJzuTWpdpQ",enjoy lake woods wis nsin hwoods visitwis nsin hiking hwoods kgmjuqx djzutwpdpq,79,1
21,2020-07-16 16:20:07,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
22,2020-07-16 16:20:07,"RT @KatHarris42: Wow 4 yrs ago today, I handed in 33,000 word thesis for my Masters. A lot of hard work especially with home life and worki…",katharris wow yrs ago today handed word thesis masters lot hard work especially home life worki,95,-1
23,2020-07-16 16:20:08,"RT @haaohaoo: My exposé of the impact of Trump’s golf courses in Scotland has been suppressed with legal threats … until now

""You’ve Been…",haaohaoo expos impact trump golf urses tland suppressed legal threats,69,1
24,2020-07-16 16:20:09,@FollowsCourage @nomadcrna @RBlockMD @rosru924 @DocStrange_1 @fpapro1 @Suburbanbella @shycollie @RealLion33 OH! All… https://t.co/elnYlMZ7x8,followscourage nomadcrna rblockmd rosru docstrange fpapro suburbanbella shy llie reallion oh elnylmz x,102,-1
25,2020-07-16 16:20:10,"RT @RBReich: Jeff Bezos' Beverly Hills mansion has:

—3 saunas
—2 guesthouses
—A nine-hole golf course
—A tennis court
—A ""motor court"" wit…",rbreich jeff bezos beverly hills mansion saunas guesthouses nine hole golf urse tennis u motor u wit,100,0
